PWS ID,PWS Name,County,Population Served,Fluoridated,Fluoride Conc.
CO-0130025,Elevado Estates LLC,Jefferson,202,Yes,1.15
CO-0130030,Evergreen MD,Jefferson,12749,Yes,0.7
CO-0130033,Forest Hills Metro Dist.,Jefferson,324,No,0.63
CO-0130035,Genesee W&ampSD,Jefferson,3173,Yes,0.7
CO-0130040,Golden-City of,Jefferson,23989,No,0.64
CO-0130045,Hidden Valley Mutual Water Co.,Jefferson,125,No,0.18
CO-0130050,Homestead WC,Jefferson,775,No,1.4
CO-0130055,Idledale Water Dist.,Jefferson,283,No,0.1
CO-0130065,Indian Hills Water Dist.,Jefferson,1052,No,1
CO-0130070,Inspiration Valley MHP,Jefferson,202,Yes,1.41
CO-0130075,Ken-Caryl West Ranch Water,Jefferson,113,No,0.58
CO-0130085,Morrison-Town of,Jefferson,8003,No,0.44
CO-0130090,Mount Vernon Country Club,Jefferson,594,No,0.14
CO-0130095,Mountain View Village MHP,Jefferson,31,Yes,0.72
CO-0130100,Mountain Water & Sanitation,Jefferson,1571,No,0.64
CO-0130105,North Table Mountain W&ampS Dist.,Jefferson,8095,Yes,0.7
CO-0130115,Park Water District,Jefferson,73,No,0.58
CO-0130116,Alameda W&ampSD,Jefferson,2008,Yes,0.7
CO-0130125,Sheridan Mobile Home Park,Jefferson,389,Yes,1.5
CO-0130133,Bancroft Clover W&ampSD,Jefferson,35617,Yes,0.7
CO-0130138,Bear Creek W&ampSD,Jefferson,24284,Yes,0.7
CO-0130145,Consolidated Mutual WD #2,Jefferson,44254,Yes,0.7
CO-0130152,Bonvue W&ampSD,Jefferson,283,Yes,0.7
CO-0130187,Cragmont Water Company,Jefferson,36,No,0
CO-0130237,"Edgewater, Town of",Jefferson,4290,Yes,0.7
CO-0130319,Golden Terrace West,Jefferson,668,No,0.64
CO-0130321,Green Mountain W&ampSD,Jefferson,8941,Yes,0.7
CO-0130344,High View WD,Jefferson,3238,Yes,0.7
CO-0130466,Lakehurst W&ampSD,Jefferson,9714,Yes,0.7
CO-0130467,Lakewood Water Board,Jefferson,4857,Yes,0.7
CO-0130500,Meadowbrook WD,Jefferson,2663,Yes,0.7
CO-0130667,Ralston Valley WSD,Jefferson,1303,Yes,0.7
CO-0130718,South Sheridan W&ampSD,Jefferson,2024,Yes,0.7
CO-0130800,Valley WD,Jefferson,8095,Yes,0.7
CO-0130842,Wheat Ridge WD,Jefferson,16190,Yes,0.7
CO-0130843,Willowbrook W&ampSD,Jefferson,7567,Yes,0.7
CO-0131200,Brandon WA,Kiowa,20,Yes,2.3
CO-0131400,Eads-Town of,Kiowa,503,Yes,1.09
CO-0131600,Haswell-Town of,Kiowa,45,Yes,2.06
CO-0131800,Sheridan Lake WC,Kiowa,120,Yes,1.83
CO-0132001,Bethune-Town of,Kit Carson,158,Yes,0.72
CO-0132005,Burlington-City of,Kit Carson,3011,Yes,1.17
CO-0132010,Flagler-Town of,Kit Carson,1748,Yes,0.29
CO-0132015,Seibert-Town of,Kit Carson,240,No,0.81
CO-0132020,Stratton-Town of,Kit Carson,777,Yes,0.45
CO-0132025,Vona-Town of,Kit Carson,130,No,0.42
CO-0133100,Lake Fork MHP,Lake,324,No,0.1
CO-0133150,Lazy Acres MHP,Lake,356,No,0.32
CO-0133300,Village Of East Fork,Lake,162,No,0.1
CO-0133500,Mt Elbert WA,Lake,138,No,0.59
CO-0133600,Mountain View Village MHP,Lake,183,Yes,1.38
CO-0133700,Parkville Water District,Lake,6071,No,0
CO-0134020,Animas Water District,La Plata,2202,Yes,0.27
CO-0134030,"Bayfield: WTP #1, & #2",La Plata,1862,No,0
CO-0134065,Blue Sky Ranch,La Plata,142,No,0.23
CO-0134150,Durango-City of,La Plata,28453,Yes,0.7
CO-0134176,Durango North Village,La Plata,121,Yes,0.27
CO-0134180,Durango West Metro Dist #1,La Plata,607,No,0.36
CO-0134190,Durango West Metro Dist. # 2,La Plata,753,No,0.36
CO-0134191,LA PLATA ARCHULETA WATER DISTRICT,La Plata,364,No,0
CO-0134192,Los Prados HOA,La Plata,36,No,0.39
CO-0134200,Edgemont Ranch Metro. District,La Plata,971,No,0.33
CO-0134210,El Rancho Florida,La Plata,324,No,0.23
CO-0134225,Falfa Mobile Home Park,La Plata,32,No,0.19
CO-0134240,Falls Creek Ranch #1,La Plata,107,No,0.12
CO-0134270,Falls Creek Ranch #2,La Plata,60,No,0.16
CO-0134300,Florida River Estates,La Plata,193,No,0.5
CO-0134330,Forest Groves Estates,La Plata,93,No,0
CO-0134338,HEARTWOOD CO HOUSING,La Plata,49,Yes,1.3
CO-0134360,Forest Lakes Metro,La Plata,1596,No,0.1
CO-0134390,Golden West Mobile Home Park,La Plata,162,No,0.24
CO-0134450,Hermosa Mobile Home Village,La Plata,79,No,0.15
CO-0134480,Hermosa Vista Home Owners,La Plata,78,No,0.48
CO-0134500,IGNACIO TOWN OF,La Plata,648,Yes,0.15
CO-0134510,Junction Creek MHP,La Plata,81,No,0.11
CO-0134515,KNOLLS AT DURANGO HOA,La Plata,121,No,0.2
CO-0134530,Lake Durango WC,La Plata,1277,No,0.36
CO-0134540,La Plata Vista Homeowners Assn,La Plata,55,No,0.36
CO-0134570,Lightner Creek MHP,La Plata,73,No,0.15
CO-0134580,Los Ranchitos Inc.,La Plata,68,No,0.12
CO-0134630,Narrow Gauge Mobile Home Park,La Plata,121,Yes,1.51
CO-0134640,Triangle TP,La Plata,32,No,0.17
CO-0134660,Old Homestead MHP,La Plata,97,No,0.18
CO-0134690,Westside MHP,La Plata,191,No,0.14
CO-0134717,SOUTHWEST HORIZON RANCH,La Plata,261,Yes,0.58
CO-0134720,Pinewind Mobile Home Park,La Plata,49,No,0.48
CO-0134730,Pinon Heights MHP,La Plata,35,Yes,1.24
CO-0134750,Purgatory Metro. District,La Plata,992,No,0
CO-0134758,Scenic Square Subdivision,La Plata,20,No,0.14
CO-0134790,Ute Pass WA,La Plata,97,Yes,0.14
CO-0134809,HOMESTEAD TRAILS,La Plata,209,No,0.3
CO-0134810,Tall Pines Village,La Plata,53,Yes,0
CO-0134840,Glacier Club,La Plata,607,No,0.2
CO-0134855,Twilight Peaks,La Plata,63,No,0.1
CO-0134900,Van Den Berg MD,La Plata,33,Yes,0.7
CO-0135001,Windcliff POA,Larimer,273,No,0.08
CO-0135138,Berthoud-Town of,Larimer,6103,Yes,0.7
CO-0135143,Big Elk Meadows WA,Larimer,328,No,0.56
CO-0135233,East Larimer County WD,Larimer,19661,Yes,0.7
CO-0135237,Eden Valley Institute,Larimer,74,No,0.16
CO-0135257,Estes Park-Town of,Larimer,13536,No,0.08
CO-0135290,West Ft Collins Water District,Larimer,3238,Yes,0.7
CO-0135291,Ft. Collins-City of,Larimer,145627,Yes,0.7
CO-0135292,Ft. Collins-Loveland WD,Larimer,41688,Yes,0.7
CO-0135315,Glacier View Meadows,Larimer,320,Yes,1.11
CO-0135476,Carter Lake: No. & So. WTPs,Larimer,9,Yes,0.7
CO-0135477,Little Thompson WD,Larimer,17630,Yes,0.7
CO-0135485,Loveland-City of,Larimer,61827,Yes,0.7
CO-0135538,Newell-Warnock WA,Larimer,130,No,0.1
CO-0135553,North Carter Lake WD,Larimer,237,Yes,0.7
CO-0135554,Northern Colorado WA,Larimer,3683,Yes,0.7
CO-0135610,Pinewood Springs WD,Larimer,603,No,0.36
CO-0135685,Rocky Mtn Natl Park-Headquarters East,Larimer,729,Yes,0.94
CO-0135718,Soldier Canyon Filter Plant,Larimer,0,Yes,0.7
CO-0135721,Spring Canyon W&ampSD,Larimer,1878,No,0.1
CO-0135725,Sunrise Ranch,Larimer,61,Yes,0.15
CO-0135726,Sunset WD,Larimer,344,Yes,0.7
CO-0135838,Wellington-Town of,Larimer,9309,Yes,0.7
CO-0135883,YMCA of the Rockies,Larimer,3019,No,0.27
CO-0136100,Aguilar-Town of,Las Animas,402,No,0.24
CO-0136185,Town of Cokedale,Las Animas,97,No,0
CO-0136249,El Moro Hoehne Pipeline Association,Las Animas,530,Yes,0.7
CO-0136300,Branson-Town of,Las Animas,106,No,0.23
CO-0136400,Kim-Town of,Las Animas,94,No,0.44
CO-0136610,Pinon WSD,Las Animas,40,No,0
CO-0136700,Santa Fe Trail Ranch MD,Las Animas,291,Yes,0.7
CO-0136724,Town of Starkville,Las Animas,80,No,0
CO-0136725,Sunflower Valley Pipeline Assn,Las Animas,253,Yes,0.7
CO-0136800,Trinidad-City of,Las Animas,9228,Yes,0.7
CO-0136850,Trinidad Lake Ranches POA,Las Animas,162,Yes,0.7
CO-0137001,Arriba-Town of,Lincoln,175,No,0.43
CO-0137005,Genoa-Town of,Lincoln,117,Yes,0.64
CO-0137010,Hugo-Town of,Lincoln,716,Yes,0.96
CO-0137012,Karval WU Inc.,Lincoln,83,Yes,2.15
CO-0137015,Limon-Town of,Lincoln,4112,No,0.58
CO-0137016,Limon Correctional Fac.,Lincoln,1043,No,0.58
CO-0138001,Buffalo Hills CG,Logan,94,No,0.26
CO-0138005,Crook-Town of,Logan,147,No,0.25
CO-0138010,Fleming-Town of,Logan,361,Yes,0.62
CO-0138015,Iliff-Town of,Logan,266,No,0.42
CO-0138025,Merino-Town of,Logan,190,Yes,0.26
CO-0138030,Peetz-Town of,Logan,239,Yes,0.66
CO-0138042,Sage Pointe W&ampS Co.,Logan,157,Yes,1.24
CO-0138045,Sterling-City of,Logan,12223,No,0.58
CO-0138725,SUNNYSLOPE HOMEOWNERS,Logan,23,Yes,2.9
CO-0139166,Candlewood Park,Mesa,648,Yes,0.7
CO-0139180,Clifton Water District,Mesa,27927,Yes,0
CO-0139185,Collbran-Town of,Mesa,535,No,0.4
CO-0139205,Debeque-Town of,Mesa,737,No,0.32
CO-0139220,GATEWAY CANYONS WS,Mesa,300,Yes,0.65
CO-0139321,Grand Junction-City of,Mesa,21047,Yes,0.7
CO-0139344,HIDDEN VALLEY WC INC,Mesa,49,Yes,0.7
CO-0139434,KANNAH CREEK,Mesa,283,No,0.12
CO-0139505,Mesa W&ampSD,Mesa,243,No,0.23
CO-0139510,Midlands Village,Mesa,673,Yes,0.7
CO-0139600,Palisade-Town of,Mesa,2477,No,0.1
CO-0139791,Ute WCD,Mesa,71741,Yes,0.7
CO-0140500,Creede-City of,Mineral,1591,No,0.13
CO-0140600,Creede Haven Subdivision,Mineral,70,No,0.27
CO-0141188,Craig-City of,Moffat,8015,Yes,0.7
CO-0141210,Dinosaur-Town of,Moffat,283,No,0.16
CO-0142200,Cortez-City of,Montezuma,7042,No,0
CO-0142400,Dolores-Town of,Montezuma,1316,No,0.22
CO-0142600,Mancos Rural Water Company,Montezuma,1052,No,0.1
CO-0142700,Mancos-Town of,Montezuma,1125,No,0.1
CO-0142800,Montezuma Co. Water Dist. #1,Montezuma,397,No,0
CO-0142900,Montezuma Water Company,Montezuma,11168,No,0.1
CO-0143176,Chipeta Estates Water Co.,Montrose,2802,No,0.27
CO-0143233,Earle Lane Subdivision,Montrose,32,No,0.48
CO-0143505,River Meadows-The,Montrose,395,No,0.5
CO-0143506,Menoken Water Company,Montrose,2833,No,0.27
CO-0143510,Millard Mobile Home Park,Montrose,69,Yes,0.6
CO-0143515,Montrose Suburban Water Works District,Montrose,695,No,0.27
CO-0143518,Montrose-City of,Montrose,15627,No,0.27
CO-0143525,Mustang Water Authority,Montrose,0,No,0.3
CO-0143533,Naturita-Town of,Montrose,474,No,0.3
CO-0143559,Nucla-Town of,Montrose,708,No,0.3
CO-0143582,Olathe-Town of,Montrose,1376,No,0.27
CO-0143600,Paradox Pipeline Company,Montrose,162,No,0.23
CO-0143621,Project 7 Water Authority,Montrose,0,No,0.27
CO-0143719,Spring View Trailer Court,Montrose,117,No,0.43
CO-0143725,Sunprise Trailer Park,Montrose,49,No,0.54
CO-0143755,Tri-County Water Cons.Dist.,Montrose,14733,No,0.27
CO-0144001,Brush-City of,Morgan,4142,No,0.3
CO-0144005,Ft. Morgan-City of,Morgan,9714,Yes,0.7
CO-0144010,Hillrose-Town of,Morgan,243,No,0.67
CO-0144015,Log Lane Village-Town of,Morgan,814,No,0.67
CO-0144020,Morgan County Quality WD,Morgan,6570,No,0.67
CO-0144025,Pagel's MHP,Morgan,243,Yes,0.51
CO-0144035,Wiggins W&ampSD,Morgan,737,Yes,0.26
CO-0144621,Prairie View Ranch WD,Morgan,109,Yes,0.6
CO-0145030,Beehive WC - #1,Otero,125,Yes,1.53
CO-0145060,Bents Old Fort WC,Otero,729,Yes,0.22
CO-0145090,Cheraw-Town of,Otero,206,Yes,1.62
CO-0145120,East End WA,Otero,57,Yes,2.2
CO-0145150,Eureka WC,Otero,403,Yes,1.24
CO-0145180,Fayette WC,Otero,61,Yes,1.28
CO-0145210,Fowler-Town of,Otero,946,Yes,1.31
CO-0145300,Hilltop WC,Otero,231,Yes,1.58
CO-0145330,Holbrook Center Softwater Assn,Otero,41,Yes,1.6
CO-0145360,Homestead Improvement Subd,Otero,70,Yes,0.22
CO-0145420,La Junta-City of,Otero,7447,Yes,0.22
CO-0145450,Manzanola-Town of,Otero,402,Yes,1.19
CO-0145480,Newdale-Grand Valley WC,Otero,371,Yes,1.57
CO-0145540,Patterson Valley WC,Otero,78,Yes,1.08
CO-0145570,Riverside WC,Otero,73,Yes,1.62
CO-0145600,Rocky Ford-City of,Otero,3597,Yes,0.92
CO-0145630,North Holbrook WC,Otero,47,Yes,1.96
CO-0145660,South Side WC,Otero,36,Yes,1.75
CO-0145690,South Swink WC,Otero,491,Yes,1.46
CO-0145720,Swink-Town of,Otero,534,Yes,1.05
CO-0145750,Valley WC,Otero,219,Yes,1.12
CO-0145780,Vroman WC,Otero,101,Yes,1.35
CO-0145810,West Grand Valley WA,Otero,81,Yes,1.78
CO-0146485,Dallas Creek WC,Ouray,768,No,0.11
CO-0146588,Ouray-City of,Ouray,1182,No,0.45
CO-0146592,Elk Meadows Estates,Ouray,174,No,0.23
CO-0146676,Ridgway-Town of,Ouray,809,No,0.36
CO-0147001,Alma-Town of,Park,364,No,0.33
CO-0147010,Bailey W&ampSD,Park,391,No,0.42
CO-0147020,Fairplay-Town of,Park,708,No,0.16
CO-0147030,Fairplay MHP,Park,174,No,0.2
CO-0147040,Redhill Forest POW&ampCA,Park,314,No,0.2
CO-0147090,Shawnee WCA,Park,40,No,0.7
CO-0147180,Warm Springs Owners MWA,Park,202,No,0.25
CO-0147200,Will-O-Wisp MD,Park,243,Yes,1.69
CO-0148001,Haxtun-Town of,Phillips,771,Yes,0.56
CO-0148005,Holyoke-Town of,Phillips,2056,Yes,0.67
CO-0148010,Paoli-Town of,Phillips,34,No,0.57
CO-0149122,Aspen-Castle Creek WTP,Pitkin,25175,Yes,0.7
CO-0149123,Aspen Village MHP,Pitkin,243,No,0.4
CO-0149155,Brush Creek Water District,Pitkin,418,Yes,0.7
CO-0149160,BUTTERMILK METRO DISTRICT,Pitkin,162,Yes,0.7
CO-0149185,WILD CAT RANCH,Pitkin,27,No,0.2
CO-0149188,Crystal River Country Estates,Pitkin,32,No,0.1
CO-0149218,KK Water Assn,Pitkin,57,No,0.27
CO-0149300,Gateway to Snowmass Mesa,Pitkin,130,No,0.28
CO-0149352,Holland Hills,Pitkin,182,No,0.22
CO-0149466,Lazy Glen HomeOwner Assn,Pitkin,261,No,0.19
CO-0149467,Lazy O Ranch,Pitkin,22,No,0
CO-0149476,Little Elk Creek,Pitkin,65,No,0.19
CO-0149588,Orchard Estates,Pitkin,52,No,0.1
CO-0149609,Phillips Trailer Court,Pitkin,36,No,0.19
CO-0149611,PITKIN IRON HOA,Pitkin,33,No,0.2
CO-0149613,WEST RANCH SUBD,Pitkin,23,No,0
CO-0149621,Prince Creek HOA,Pitkin,40,No,0.16
CO-0149671,Redstone W&ampSD,Pitkin,146,No,0.36
CO-0149685,Roaring Fork MHP,Pitkin,85,No,0.4
CO-0149710,Silversmith Apartments,Pitkin,24,No,0.23
CO-0149717,Snowmass W&ampSD,Pitkin,5143,Yes,0.7
CO-0149724,Starwood WD,Pitkin,243,No,0.21
CO-0149727,Swiss Village HOA,Pitkin,77,No,0.2
CO-0149842,Whitehorse Springs W&ampSD,Pitkin,57,No,0.39
CO-0149843,Wildbrook Inn,Pitkin,26,No,0.31
CO-0149844,WJ Metro District,Pitkin,262,No,0.3
CO-0149852,Woody Creek MHP,Pitkin,178,No,0.2
CO-0150100,A & B Water Assn,Prowers,81,Yes,1.15
CO-0150200,Bristol W&ampSD,Prowers,170,Yes,1.2
CO-0150300,Granada-Town of,Prowers,417,Yes,1.31
CO-0150400,Granada WA,Prowers,306,Yes,1.17
CO-0150500,Hartman-Town of,Prowers,75,Yes,1.91
CO-0150600,Holly-Town of,Prowers,648,Yes,0.77
CO-0150700,Lamar-City of,Prowers,6962,Yes,0.7
CO-0150800,May Valley WA,Prowers,1214,Yes,1.67
CO-0150850,Prosperity Lane Water Association,Prowers,210,Yes,0.7
CO-0150900,Wiley-Town of,Prowers,328,Yes,0.81
CO-0151050,Avondale W&ampSD,Pueblo,1307,Yes,0.8
CO-0151100,Beulah Water Works Dist,Pueblo,360,Yes,0.67
CO-0151150,Boone-Town of,Pueblo,283,Yes,0.91
CO-0151200,Colorado City MD,Pueblo,1761,No,0.14
CO-0151350,Mountain Shadows ME,Pueblo,45,No,0.34
CO-0151400,Baxter Water & Services,Pueblo,283,Yes,1.18
CO-0151450,Pine Drive WD,Pueblo,337,Yes,0.69
CO-0151500,"Pueblo Board of WW, Whitlock",Pueblo,91860,Yes,0.7
CO-0151650,Pueblo West MD,Pueblo,24284,Yes,0.45
CO-0151700,Rye-Town of,Pueblo,603,No,0
CO-0151750,Saint Charles Mesa WD,Pueblo,7844,Yes,0.7
CO-0152188,CROSS L ESTATES,Rio Blanco,40,No,0.2
CO-0152505,Meeker-Town of,Rio Blanco,2024,Yes,0.7
CO-0152666,Rangely-City of,Rio Blanco,1878,Yes,0.7
CO-0153200,Del Norte-Town of,Rio Grande,1457,No,0.13
CO-0153450,INDIAN TRAILS,Rio Grande,78,No,0
CO-0153600,Monte Vista-City of,Rio Grande,3724,No,0.15
CO-0153718,South Fork Heights Apartments,Rio Grande,65,No,0
CO-0153800,Ponderosa Subdivision,Rio Grande,73,No,0.14
CO-0154200,Dakota Ridge,Routt,105,No,0.29
CO-0154205,Deerwood Park,Routt,74,No,0.1
CO-0154285,Fox Estates HOA,Routt,40,No,0.1
CO-0154333,Hayden-Town of,Routt,3169,Yes,0.7
CO-0154466,CATAMOUNT MD LAKE PROPERTY,Routt,174,No,0.1
CO-0154500,MARABOU HOA,Routt,24,No,0
CO-0154510,Milner TP,Routt,81,No,0.25
CO-0154518,Morrison Creek Metro W&ampSD,Routt,648,No,0.36
CO-0154524,MOUNT WERNER W+SD,Routt,13745,Yes,0.7
CO-0154566,Oak Creek-Town of,Routt,769,No,0.29
CO-0154609,PHIPPSBURG TOWN OF,Routt,162,No,0.22
CO-0154715,Sleepy Bear MHP,Routt,121,No,0.35
CO-0154724,Steamboat II W&ampSD,Routt,1174,Yes,0.7
CO-0154725,Steamboat Springs-Town of,Routt,8054,Yes,0.7
CO-0154743,Timbers W&ampSD,Routt,162,No,0.1
CO-0154755,Tree Haus MD,Routt,201,No,0.11
CO-0154842,Whitehaven MHP,Routt,45,No,0.4
CO-0154900,Yampa-Town of,Routt,378,No,0.32
CO-0155188,CRESTONE WS,Saguache,237,No,0
CO-0155200,Baca Grande W&ampS - Crestone,Saguache,1230,No,0.1
CO-0155500,Center:  E. & W. Wells,Saguache,1943,No,0.1
CO-0155518,Moffat Town of,Saguache,20,Yes,1.34
CO-0155700,KV Home Owners Association,Saguache,109,Yes,0.54
CO-0155800,Saguache-Town of,Saguache,393,No,0.2
CO-0156600,Silverton-Town of,San Juan,1932,No,0.5
CO-0157011,Aldasoro,San Miguel,59,No,0
CO-0157244,Elk Run Homeowners Corporation,San Miguel,49,No,0
CO-0157300,Last Dollar Subdivision,San Miguel,45,No,0.24
CO-0157400,Mountain Village MD,San Miguel,7042,No,0
CO-0157500,Norwood-Town of,San Miguel,1376,Yes,0.7
CO-0157600,Ophir-Town of,San Miguel,156,No,0.48
CO-0157700,Sawpit-Town of,San Miguel,48,No,0.25
CO-0157701,San Bernardo HOA,San Miguel,107,No,0.1
CO-0157800,Telluride-Town of,San Miguel,6395,No,0.2
CO-0157900,TELLURIDE PINES HOA,San Miguel,20,No,0.21
CO-0157950,Wilson Mesa MD,San Miguel,211,No,0
CO-0158001,Julesburg-Town of,Sedgwick,992,No,0.39
CO-0158005,Ovid-Town of,Sedgwick,304,No,0.54
CO-0158010,Sedgwick-Town of,Sedgwick,134,No,0.37
CO-0159005,Blue River Valley Ranch Lakes,Summit,121,No,0.12
CO-0159020,Breckenridge,Summit,22920,Yes,0.7
CO-0159025,Buffalo Mountain MD,Summit,2145,No,0.51
CO-0159030,Copper Mountain W&ampSD,Summit,4683,No,0
CO-0159035,Dillon-Town of,Summit,2634,Yes,0.7
CO-0159040,Dillon-Valley MD,Summit,2479,No,0.2
CO-0159045,East Dillon Water District,Summit,2025,No,0.32
CO-0159050,Farmers Korner Trailer Court,Summit,129,No,0.1
CO-0159055,Frisco-Town of,Summit,3639,No,0.07
CO-0159060,Halderson Pipeline,Summit,121,No,0.23
CO-0159063,Hamilton Creek,Summit,162,No,0.28
CO-0159065,Keystone Ranch,Summit,542,No,0.3
CO-0159070,Kingdom Park Court,Summit,57,No,0.12
CO-0159080,Mesa Cortina Water & San Dist,Summit,377,No,0.51
CO-0159090,Sage Creek Canyon Corporation,Summit,320,No,0.08
CO-0159095,Silverthorne-Town of,Summit,6037,Yes,0.7
CO-0159105,Snake River Water Dist.,Summit,8014,No,0.2
CO-0159120,Tanglewood Water System,Summit,49,No,0.28
CO-0159725,SWANS NEST MD,Summit,162,No,0.09
CO-0160050,Alpine Village MHP,Teller,65,No,0.25
CO-0160075,Arabian Acres Subd,Teller,263,Yes,0.88
CO-0160100,Cripple Creek-City of,Teller,2280,Yes,2.6
CO-0160175,Florissant W&ampSD,Teller,202,Yes,2.34
CO-0160176,Forest Glen Sports Assoc.,Teller,62,Yes,2.11
CO-0160180,Gold Rush WC,Teller,107,No,0
CO-0160195,Divide Water Providers,Teller,461,Yes,2.26
CO-0160200,Highland Lakes WD,Teller,708,Yes,1.2
CO-0160275,Divide S. Water Users & Ditch,Teller,49,Yes,1.8
CO-0160285,Mid Colorado Investment (Teller),Teller,0,Yes,2.6
CO-0160295,Divide MPC MD NO 1,Teller,550,No,0.5
CO-0160350,Mountain Mutual WA,Teller,375,Yes,2.37
CO-0160375,Rainbow Valley WD,Teller,105,Yes,1.91
CO-0160400,Ridgewood WD,Teller,68,Yes,3.23
CO-0160450,Rosewood Hills HOA,Teller,109,Yes,3.3
CO-0160550,Valley Maintence. Corp. #1,Teller,380,Yes,1.5
CO-0160551,VALLEY MAINT CORP NO 2,Teller,45,Yes,1.6
CO-0160600,Teller Co. W&ampSD,Teller,486,Yes,1.76
CO-0160650,Tranquil Acres WS,Teller,146,Yes,1.93
CO-0160700,Victor-City of,Teller,397,Yes,2.1
CO-0160711,Sierra Water Services,Teller,243,Yes,2.26
CO-0160750,Westwood Lakes WD,Teller,364,Yes,1.31
CO-0160900,Woodland Park-City of,Teller,6881,Yes,1.2
CO-0160950,Woodland West Subd. WUA,Teller,202,No,0
CO-0161001,Akron-Town of,Washington,1926,Yes,0.75
CO-0161010,Otis-Town of,Washington,486,Yes,0.62
CO-0162121,Aristocrat Ranchettes,Weld,1020,Yes,0.7
CO-0162122,Central Weld County WD,Weld,6202,Yes,0.7
CO-0162125,"Ault, Town of",Weld,1411,Yes,0.7
CO-0162155,Briggsdale WC,Weld,273,Yes,0.66
CO-0162159,BUFFALO RIDGE ESTATES,Weld,73,Yes,2.14
CO-0162200,"Dacono, City of",Weld,4695,Yes,0.7
CO-0162233,"Eaton, Town of",Weld,4857,Yes,0.7
CO-0162255,ERIE-TOWN OF,Boulder,26574,Yes,0.7
CO-0162255,ERIE-TOWN OF,Weld,0,Yes,0.7
CO-0162260,"Evans, City of",Weld,15679,Yes,0.7
CO-0162285,Foxhills HOA,Weld,36,Yes,1.8
CO-0162288,Frederick-Town of,Weld,12731,Yes,0.7
CO-0162291,Ft. Lupton-City of,Weld,6557,No,0.2
CO-0162310,Gilcrest-Town of,Weld,931,Yes,0.7
CO-0162321,"GREELEY, City of",Larimer,202,Yes,0.7
CO-0162321,"GREELEY, City of",Weld,87222,Yes,0.7
CO-0162322,Grover-Town of,Weld,125,No,0.39
CO-0162359,Hudson-Town of,Weld,2712,No,0.2
CO-0162418,Johnstown-Town of,Weld,15285,Yes,0.7
CO-0162438,Keenesburg-Town of,Weld,2914,Yes,2.11
CO-0162439,"Kersey, Town of",Weld,1701,Yes,0.7
CO-0162466,La Salle-Town of,Weld,1627,Yes,0.7
CO-0162476,"Firestone, Town of",Weld,14402,Yes,0.7
CO-0162486,Lochbuie-Town of,Weld,5529,Yes,0.38
CO-0162511,"Milliken, Town of",Weld,7415,Yes,0.7
CO-0162553,North Weld County WD,Weld,10523,Yes,0.7
CO-0162559,Nunn-Town of,Weld,389,Yes,0.7
CO-0162610,Pierce-Town of,Weld,688,Yes,0.7
CO-0162615,Platteville-Town of,Weld,2347,Yes,0.7
CO-0162666,Raymer (New)-Town of,Weld,59,Yes,2.6
CO-0162707,SEVERANCE  MUNICIPAL WATER SYSTEM,Weld,3997,Yes,0.7
CO-0162710,New Vision MHP,Weld,162,Yes,1.65
CO-0162833,Wattenburg Improvement Assn,Weld,283,Yes,0.28
CO-0162843,"Windsor, Town of",Weld,16999,Yes,0.7
CO-0163001,Eckley-Town of,Yuma,231,Yes,1.11
CO-0163010,Wray-City of,Yuma,1896,Yes,0.84
CO-0163020,Yuma-City of,Yuma,3278,Yes,0.79
CO-0163706,SEABOARD FOODS LP,Yuma,107,Yes,0.69
CO-0201006,Barr Lake RVP,Adams,165,No,0
CO-0203002,Arapahoe County WWWA,Arapahoe,25094,No,0
CO-0203012,Inverness WSD,Arapahoe,6589,Yes,0.7
CO-0207500,Mcdonald Farms,Weld,625,No,0
CO-0207504,MEADOW MOUNTAIN WS,Boulder,45,No,0.1
CO-0208200,Chateau Chaparrel CG,Chaffee,194,Yes,1
CO-0210017,MILL CREEK WIA,Clear Creek,54,No,0
CO-0212466,Lake Sanchez Estates,Costilla,45,Yes,1.03
CO-0214142,Bear Creek Landowners Association,Conejos,142,No,0
CO-0215225,DEUTSCH DOMESTIC WATER,Delta,73,No,0.5
CO-0215538,MAD DOG WC,Delta,49,No,0
CO-0218015,MERIDIAN MD,Douglas,16797,No,0.11
CO-0219123,Aspen Mountain View Subdivision,Eagle,121,No,0
CO-0221060,Big Pines Campground,El Paso,58,No,0.47
CO-0221445,FORT CARSON ARMY BASE,El Paso,38855,No,0
CO-0221690,PAINT BRUSH HILLS,El Paso,2790,Yes,1.17
CO-0223279,Four Mile Ranch HOA,Garfield,57,No,0
CO-0223343,The Hideout at Glenwood Springs,Garfield,74,No,0.29
CO-0223810,Herons Nest RV Park,Garfield,73,No,0.51
CO-0226500,Marble WC,Gunnison,91,No,0
CO-0226712,SKYLAND MD,Gunnison,271,No,0
CO-0227700,San Juan Ranch HOA,Hinsdale,54,Yes,1.92
CO-0234390,Happy Scenes WS Inc,La Plata,98,No,0.3
CO-0234750,Sierra Verde Water Co LLC,La Plata,30,No,0
CO-0234837,Well On Wheels Water Hauler,La Plata,20,No,0
CO-0235184,CSU Main and West Housing Campus,Larimer,22160,Yes,0.7
CO-0235185,Annunciation Heights,Larimer,259,No,0.36
CO-0235676,Riverview CG,Larimer,364,No,0.34
CO-0235685,Shambhala Mountain Center,Larimer,73,Yes,0.74
CO-0238104,Advantage Treatment CTR,Logan,134,Yes,2.9
